,corp1.txt,corp10.txt,corp2.txt,corp3.txt,corp4.txt,corp5.txt,corp6.txt,corp7.txt,corp8.txt,corp9.txt,idf,tf.idfcorp1.txt,tf.idfcorp10.txt,tf.idfcorp2.txt,tf.idfcorp3.txt,tf.idfcorp4.txt,tf.idfcorp5.txt,tf.idfcorp6.txt,tf.idfcorp7.txt,tf.idfcorp8.txt,tf.idfcorp9.txt
ا ر,1.0,17.0,6.0,25.0,4.0,26.0,13.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ا ز,1.0,5.0,0.0,0.0,1.0,15.0,1.0,1.0,0.0,0.0,0.22184874961635637,0.22184874961635637,0.3769143710976413,0.0,0.0,0.22184874961635637,0.48276312487258555,0.22184874961635637,0.22184874961635637,0.0,0.0
ا س,7.0,18.0,4.0,3.0,3.0,18.0,6.0,6.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ا ش,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5228787452803376,0.0,0.8376831181293936,0.0,0.5228787452803376,0.0,0.0,0.0,0.0,0.0,0.5228787452803376
ا ص,1.0,10.0,1.0,4.0,2.0,5.0,1.0,1.0,1.0,0.0,0.04575749056067514,0.04575749056067514,0.09151498112135029,0.04575749056067514,0.07330624493082455,0.059531867745749846,0.07774060393627559,0.04575749056067514,0.04575749056067514,0.04575749056067514,0.0
ا ض,0.0,1.0,0.0,3.0,1.0,4.0,2.0,4.0,3.0,0.0,0.15490195998574316,0.0,0.15490195998574316,0.0,0.22880897749267587,0.15490195998574316,0.24816223267144408,0.20153209632859362,0.24816223267144408,0.22880897749267587,0.0
ا ط,0.0,3.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,0.3010299956639812,0.0,0.44465780490343443,0.0,0.0,0.0,0.39164905395343774,0.44465780490343443,0.3010299956639812,0.39164905395343774,0.0
ا ظ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.6989700043360189,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.0,0.9093809417105436,0.0,0.0
ا ع,2.0,3.0,1.0,5.0,2.0,18.0,6.0,10.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ا غ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.6989700043360189
ا ف,2.0,11.0,2.0,3.0,0.0,9.0,2.0,4.0,5.0,4.0,0.04575749056067514,0.059531867745749846,0.09340900652175876,0.059531867745749846,0.06758936186980757,0.0,0.08942123317894,0.059531867745749846,0.07330624493082455,0.07774060393627559,0.07330624493082455
ا ق,2.0,6.0,2.0,3.0,0.0,23.0,2.0,3.0,3.0,0.0,0.09691001300805642,0.126082833803668,0.1723206608049707,0.126082833803668,0.1431478400093591,0.0,0.22887507530995388,0.126082833803668,0.1431478400093591,0.1431478400093591,0.0
ا ك,1.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.3979400086720376,0.3979400086720376,0.5878056449127935,0.0,0.0,0.0,0.6375237668421739,0.0,0.0,0.0,0.5177318877571058
ا ل,41.0,230.0,61.0,69.0,56.0,280.0,143.0,107.0,147.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ا م,4.0,26.0,1.0,9.0,5.0,36.0,11.0,6.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ا ن,12.0,25.0,7.0,10.0,1.0,13.0,14.0,15.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ا ه,3.0,2.0,0.0,2.0,0.0,4.0,2.0,4.0,2.0,1.0,0.09691001300805642,0.1431478400093591,0.126082833803668,0.0,0.126082833803668,0.0,0.1552556545992796,0.126082833803668,0.1552556545992796,0.126082833803668,0.09691001300805642
ا و,1.0,8.0,1.0,1.0,1.0,8.0,6.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ا ي,0.0,9.0,2.0,4.0,0.0,14.0,3.0,6.0,4.0,3.0,0.09691001300805642,0.0,0.18938566701066178,0.126082833803668,0.1552556545992796,0.0,0.20798129585453262,0.1431478400093591,0.1723206608049707,0.1552556545992796,0.1431478400093591
ا ً,0.0,0.0,0.0,8.0,2.0,15.0,10.0,8.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.5728871705323508,0.39164905395343774,0.6550687422779592,0.6020599913279624,0.5728871705323508,0.0,0.0
ب آ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ب أ,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5228787452803376,0.5228787452803376,0.0,0.0,0.5228787452803376,0.0,0.0,0.8376831181293936,0.0,0.0,0.0
ب إ,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3010299956639812,0.0,0.39164905395343774,0.3010299956639812,0.3010299956639812,0.0,0.3010299956639812,0.0,0.0,0.3010299956639812,0.0
ب ئ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ب ا,4.0,22.0,6.0,14.0,9.0,28.0,9.0,10.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ب ب,0.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.3010299956639812,0.0,0.44465780490343443,0.0,0.3010299956639812,0.3010299956639812,0.39164905395343774,0.0,0.0,0.39164905395343774,0.0
ب ة,2.0,3.0,0.0,0.0,0.0,8.0,2.0,1.0,5.0,0.0,0.22184874961635637,0.2886318777514278,0.32769750339130055,0.0,0.0,0.0,0.4221981340215706,0.2886318777514278,0.22184874961635637,0.3769143710976413,0.0
ب ت,0.0,1.0,1.0,4.0,0.0,4.0,6.0,1.0,3.0,0.0,0.15490195998574316,0.0,0.15490195998574316,0.15490195998574316,0.24816223267144408,0.0,0.24816223267144408,0.27543911383552633,0.15490195998574316,0.22880897749267587,0.0
ب ث,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ب ج,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5228787452803376,0.5228787452803376,0.5228787452803376,0.0,0.0,0.0,0.0,0.5228787452803376,0.0,0.0,0.0
ب ح,0.0,4.0,1.0,1.0,0.0,6.0,3.0,1.0,0.0,1.0,0.15490195998574316,0.0,0.24816223267144408,0.15490195998574316,0.15490195998574316,0.0,0.27543911383552633,0.22880897749267587,0.15490195998574316,0.0,0.15490195998574316
ب خ,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.6989700043360189,0.0,0.0,0.0,1.032463449816228,0.0,0.0,0.0,0.0
ب د,1.0,3.0,1.0,0.0,0.0,6.0,4.0,1.0,2.0,2.0,0.09691001300805642,0.09691001300805642,0.1431478400093591,0.09691001300805642,0.0,0.0,0.1723206608049707,0.1552556545992796,0.09691001300805642,0.126082833803668,0.126082833803668
ب ذ,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.3979400086720376,0.3979400086720376,0.0,0.3979400086720376,0.0,0.0,0.0,0.5878056449127935,0.0,0.0,0.3979400086720376
ب ر,1.0,5.0,2.0,12.0,1.0,11.0,6.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ب س,0.0,5.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.3010299956639812,0.0,0.5114409330385058,0.3010299956639812,0.0,0.0,0.44465780490343443,0.3010299956639812,0.0,0.3010299956639812,0.0
ب ش,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.22184874961635637,0.0,0.2886318777514278,0.0,0.0,0.22184874961635637,0.2886318777514278,0.22184874961635637,0.0,0.22184874961635637,0.22184874961635637
ب ص,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6989700043360189,0.0,1.187529071297513,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0
ب ض,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.6989700043360189,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.0,0.0
ب ط,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.22184874961635637,0.22184874961635637,0.22184874961635637,0.0,0.2886318777514278,0.0,0.22184874961635637,0.0,0.22184874961635637,0.2886318777514278,0.0
ب ظ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ب ع,1.0,1.0,0.0,4.0,3.0,6.0,6.0,2.0,0.0,1.0,0.09691001300805642,0.09691001300805642,0.09691001300805642,0.0,0.1552556545992796,0.1431478400093591,0.1723206608049707,0.1723206608049707,0.126082833803668,0.0,0.09691001300805642
ب غ,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5228787452803376,0.0,0.0,0.5228787452803376,0.0,0.0,0.5228787452803376,0.0,0.0,0.5228787452803376,0.0
ب ـ,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3010299956639813,0.0,0.0,0.0,0.0
ب ف,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3010299956639813,0.0
ب ق,0.0,4.0,1.0,4.0,0.0,7.0,3.0,2.0,2.0,0.0,0.15490195998574316,0.0,0.24816223267144408,0.15490195998574316,0.24816223267144408,0.0,0.2858093027640616,0.22880897749267587,0.20153209632859362,0.20153209632859362,0.0
ب ك,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,0.5228787452803376,0.0,0.0,0.0,0.0,0.0,0.6802809317048656,0.5228787452803376,0.0,0.0,0.8883553041361473
ب ل,1.0,8.0,1.0,1.0,2.0,2.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ب م,0.0,7.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.22184874961635637,0.0,0.40933269309675274,0.0,0.22184874961635637,0.0,0.2886318777514278,0.22184874961635637,0.22184874961635637,0.2886318777514278,0.0
ب ن,1.0,2.0,1.0,1.0,0.0,9.0,2.0,0.0,0.0,2.0,0.15490195998574316,0.15490195998574316,0.20153209632859362,0.15490195998574316,0.15490195998574316,0.0,0.3027159949996086,0.20153209632859362,0.0,0.0,0.20153209632859362
ب ه,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.3979400086720376,0.0,0.5878056449127935,0.0,0.3979400086720376,0.0,0.5177318877571058,0.0,0.0,0.3979400086720376,0.0
ب و,1.0,1.0,10.0,4.0,2.0,3.0,1.0,1.0,1.0,0.0,0.04575749056067514,0.04575749056067514,0.04575749056067514,0.09151498112135029,0.07330624493082455,0.059531867745749846,0.06758936186980757,0.04575749056067514,0.04575749056067514,0.04575749056067514,0.0
ب ي,2.0,34.0,3.0,9.0,9.0,9.0,7.0,9.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ب ً,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ب ّ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ة آ,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5228787452803376,0.0,0.8376831181293936,0.0,0.0,0.0,0.5228787452803376,0.0,0.0,0.5228787452803376,0.0
ة أ,1.0,3.0,0.0,1.0,1.0,8.0,4.0,2.0,1.0,2.0,0.04575749056067514,0.04575749056067514,0.06758936186980757,0.0,0.04575749056067514,0.04575749056067514,0.08708062211589923,0.07330624493082455,0.059531867745749846,0.04575749056067514,0.059531867745749846
ة إ,1.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3979400086720376,0.3979400086720376,0.7342383300440329,0.0,0.0,0.0,0.3979400086720376,0.3979400086720376,0.0,0.0,0.0
ة ا,6.0,30.0,8.0,11.0,10.0,37.0,20.0,20.0,33.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ة ب,2.0,5.0,4.0,4.0,0.0,13.0,1.0,3.0,5.0,0.0,0.09691001300805642,0.126082833803668,0.16464720522050125,0.1552556545992796,0.1552556545992796,0.0,0.20486227777034996,0.09691001300805642,0.1431478400093591,0.16464720522050125,0.0
ة ت,1.0,12.0,1.0,0.0,1.0,24.0,1.0,3.0,6.0,2.0,0.04575749056067514,0.04575749056067514,0.095138116239957,0.04575749056067514,0.0,0.04575749056067514,0.10891249342503168,0.04575749056067514,0.06758936186980757,0.08136373905488227,0.059531867745749846
ة ث,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ة ج,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.22184874961635637,0.0,0.22184874961635637,0.0,0.0,0.22184874961635637,0.22184874961635637,0.22184874961635637,0.0,0.22184874961635637,0.22184874961635637
ة ح,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.22184874961635637,0.0,0.2886318777514278,0.0,0.22184874961635637,0.0,0.22184874961635637,0.2886318777514278,0.22184874961635637,0.2886318777514278,0.0
ة خ,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.3010299956639812,0.39164905395343774,0.39164905395343774,0.0,0.0,0.0,0.3010299956639812,0.39164905395343774,0.3010299956639812,0.0,0.0
ة د,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4771212547196624,0.0,0.0,0.0,0.0
ة ر,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.22184874961635637,0.0,0.22184874961635637,0.22184874961635637,0.22184874961635637,0.0,0.22184874961635637,0.2886318777514278,0.22184874961635637,0.0,0.0
ة ز,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5228787452803376,0.0,0.5228787452803376,0.0,0.5228787452803376,0.0,0.5228787452803376,0.0,0.0,0.0,0.0
ة س,1.0,1.0,0.0,0.0,2.0,6.0,2.0,1.0,1.0,0.0,0.15490195998574316,0.15490195998574316,0.15490195998574316,0.0,0.0,0.20153209632859362,0.27543911383552633,0.20153209632859362,0.15490195998574316,0.15490195998574316,0.0
ة ش,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.3979400086720376,0.0,0.3979400086720376,0.0,0.0,0.0,0.5177318877571058,0.0,0.3979400086720376,0.0,0.5177318877571058
ة ص,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5228787452803376,0.0,0.6802809317048656,0.0,0.5228787452803376,0.0,0.0,0.0,0.0,0.5228787452803376,0.0
ة ض,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4771212547196624,0.0,0.0,0.0,0.0
ة ط,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.3979400086720376,0.0,0.3979400086720376,0.0,0.0,0.0,0.3979400086720376,0.0,0.0,0.3979400086720376,0.3979400086720376
ة ع,0.0,1.0,1.0,4.0,0.0,5.0,2.0,0.0,1.0,2.0,0.15490195998574316,0.0,0.15490195998574316,0.15490195998574316,0.24816223267144408,0.0,0.26317378362863586,0.20153209632859362,0.0,0.15490195998574316,0.20153209632859362
ة غ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6989700043360189,0.0,0.0,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189
ة ف,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.5228787452803376,0.0,0.7723553082947351,0.0,0.0,0.0,0.7723553082947351,0.5228787452803376,0.0,0.0,0.0
ة ق,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.3979400086720376,0.0,0.3979400086720376,0.0,0.0,0.0,0.5878056449127935,0.0,0.0,0.3979400086720376,0.3979400086720376
ة ك,0.0,3.0,0.0,1.0,0.0,3.0,0.0,4.0,2.0,1.0,0.22184874961635637,0.0,0.32769750339130055,0.0,0.22184874961635637,0.0,0.32769750339130055,0.0,0.3554150058864992,0.2886318777514278,0.22184874961635637
ة ل,3.0,9.0,1.0,0.0,1.0,5.0,6.0,1.0,3.0,5.0,0.04575749056067514,0.06758936186980757,0.08942123317894,0.04575749056067514,0.0,0.04575749056067514,0.07774060393627559,0.08136373905488227,0.04575749056067514,0.06758936186980757,0.07774060393627559
ة م,0.0,8.0,1.0,3.0,1.0,9.0,4.0,3.0,5.0,2.0,0.04575749056067514,0.0,0.08708062211589923,0.04575749056067514,0.06758936186980757,0.04575749056067514,0.08942123317894,0.07330624493082455,0.06758936186980757,0.07774060393627559,0.059531867745749846
ة ن,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.5228787452803376,0.0,0.0,0.0,0.0,0.0,0.8376831181293936,0.6802809317048656,0.0,0.5228787452803376,0.0
ة ه,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.6989700043360189,0.0,0.0,0.0,0.6989700043360189,0.0,0.0,0.0,0.0
ة و,3.0,8.0,2.0,2.0,3.0,19.0,11.0,3.0,11.0,0.0,0.04575749056067514,0.06758936186980757,0.08708062211589923,0.059531867745749846,0.059531867745749846,0.06758936186980757,0.10427004638570356,0.09340900652175876,0.06758936186980757,0.09340900652175876,0.0
ة ي,0.0,6.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.3010299956639812,0.0,0.535276863192891,0.3010299956639812,0.0,0.0,0.5114409330385058,0.0,0.3010299956639812,0.3010299956639812,0.0
ة ً,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ت آ,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5228787452803376,0.0,0.5228787452803376,0.0,0.0,0.0,0.5228787452803376,0.0,0.5228787452803376,0.0,0.0
ت أ,1.0,5.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,2.0,0.04575749056067514,0.04575749056067514,0.07774060393627559,0.04575749056067514,0.04575749056067514,0.04575749056067514,0.059531867745749846,0.06758936186980757,0.0,0.059531867745749846,0.059531867745749846
ت ؤ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ت إ,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4771212547196624,0.0,0.0,0.0,0.0
ت ا,3.0,22.0,8.0,11.0,10.0,31.0,14.0,5.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ت ب,0.0,7.0,0.0,2.0,1.0,8.0,5.0,1.0,2.0,2.0,0.09691001300805642,0.0,0.17880847505892103,0.0,0.126082833803668,0.09691001300805642,0.18442847539489118,0.16464720522050125,0.09691001300805642,0.126082833803668,0.126082833803668
ت ة,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ت ت,2.0,8.0,0.0,2.0,0.0,9.0,6.0,1.0,3.0,1.0,0.09691001300805642,0.126082833803668,0.18442847539489118,0.0,0.126082833803668,0.0,0.18938566701066178,0.1723206608049707,0.09691001300805642,0.1431478400093591,0.09691001300805642
ت ث,0.0,4.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,0.22184874961635637,0.0,0.3554150058864992,0.22184874961635637,0.0,0.0,0.2886318777514278,0.2886318777514278,0.22184874961635637,0.0,0.32769750339130055
ت ج,1.0,5.0,2.0,0.0,1.0,11.0,4.0,2.0,6.0,0.0,0.09691001300805642,0.09691001300805642,0.16464720522050125,0.126082833803668,0.0,0.09691001300805642,0.1978313916732348,0.1552556545992796,0.126082833803668,0.1723206608049707,0.0
ت ح,2.0,20.0,0.0,0.0,14.0,21.0,5.0,3.0,2.0,3.0,0.09691001300805642,0.126082833803668,0.22299284681172443,0.0,0.0,0.20798129585453262,0.22504630206022375,0.16464720522050125,0.1431478400093591,0.126082833803668,0.1431478400093591
ت خ,1.0,21.0,0.0,1.0,6.0,14.0,0.0,0.0,0.0,4.0,0.22184874961635637,0.22184874961635637,0.515181446871697,0.0,0.22184874961635637,0.39448063152637197,0.47611582123182417,0.0,0.0,0.0,0.3554150058864992
ت د,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.22184874961635637,0.22184874961635637,0.32769750339130055,0.0,0.0,0.0,0.22184874961635637,0.22184874961635637,0.2886318777514278,0.22184874961635637,0.0
ت ذ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ت ر,6.0,10.0,0.0,3.0,0.0,17.0,5.0,5.0,8.0,6.0,0.09691001300805642,0.1723206608049707,0.19382002601611284,0.0,0.1431478400093591,0.0,0.21615283398457397,0.16464720522050125,0.16464720522050125,0.18442847539489118,0.1723206608049707
ت ز,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6989700043360189,0.0,0.0,0.0,0.6989700043360189,0.0,0.0,0.0,0.6989700043360189,0.0,0.0
ت س,0.0,9.0,0.0,0.0,9.0,10.0,2.0,0.0,5.0,1.0,0.22184874961635637,0.0,0.4335462571662447,0.0,0.0,0.4335462571662447,0.44369749923271273,0.2886318777514278,0.0,0.3769143710976413,0.22184874961635637
ت ش,1.0,16.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,0.15490195998574316,0.15490195998574316,0.341422505357145,0.0,0.15490195998574316,0.20153209632859362,0.20153209632859362,0.0,0.0,0.22880897749267587,0.22880897749267587
ت ص,1.0,5.0,4.0,1.0,0.0,30.0,4.0,3.0,3.0,2.0,0.04575749056067514,0.04575749056067514,0.07774060393627559,0.07330624493082455,0.04575749056067514,0.0,0.11334685243048273,0.07330624493082455,0.06758936186980757,0.06758936186980757,0.059531867745749846
ت ض,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.3979400086720376,0.3979400086720376,0.0,0.0,0.0,0.0,0.6375237668421739,0.3979400086720376,0.0,0.5177318877571058,0.0
ت ط,0.0,17.0,0.0,0.0,10.0,8.0,3.0,2.0,0.0,0.0,0.3010299956639812,0.0,0.6714320291312333,0.0,0.0,0.6020599913279624,0.5728871705323508,0.44465780490343443,0.39164905395343774,0.0,0.0
ت ظ,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5228787452803376,0.0,0.6802809317048656,0.0,0.0,0.0,0.5228787452803376,0.0,0.5228787452803376,0.0,0.0
ت ع,1.0,10.0,2.0,3.0,1.0,25.0,4.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ت غ,0.0,5.0,0.0,0.0,1.0,9.0,1.0,1.0,0.0,0.0,0.3010299956639812,0.0,0.5114409330385058,0.0,0.0,0.3010299956639812,0.5882856141428877,0.3010299956639812,0.3010299956639812,0.0,0.0
ت ف,2.0,11.0,0.0,2.0,5.0,16.0,1.0,2.0,1.0,1.0,0.04575749056067514,0.059531867745749846,0.09340900652175876,0.0,0.059531867745749846,0.07774060393627559,0.10085499930097395,0.04575749056067514,0.059531867745749846,0.04575749056067514,0.04575749056067514
ت ق,0.0,7.0,2.0,3.0,1.0,11.0,3.0,1.0,3.0,2.0,0.04575749056067514,0.0,0.08442705614947257,0.059531867745749846,0.06758936186980757,0.04575749056067514,0.09340900652175876,0.06758936186980757,0.04575749056067514,0.06758936186980757,0.059531867745749846
ت ك,0.0,7.0,0.0,0.0,2.0,3.0,4.0,0.0,6.0,5.0,0.22184874961635637,0.0,0.40933269309675274,0.0,0.0,0.2886318777514278,0.32769750339130055,0.3554150058864992,0.0,0.39448063152637197,0.3769143710976413
ت ل,1.0,5.0,1.0,1.0,1.0,4.0,0.0,3.0,3.0,1.0,0.04575749056067514,0.04575749056067514,0.07774060393627559,0.04575749056067514,0.04575749056067514,0.04575749056067514,0.07330624493082455,0.0,0.06758936186980757,0.06758936186980757,0.04575749056067514
ت م,0.0,12.0,1.0,4.0,3.0,27.0,3.0,3.0,4.0,3.0,0.04575749056067514,0.0,0.095138116239957,0.04575749056067514,0.07330624493082455,0.06758936186980757,0.11125310448807245,0.06758936186980757,0.06758936186980757,0.07330624493082455,0.06758936186980757
ت ن,2.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,4.0,1.0,0.22184874961635637,0.2886318777514278,0.3554150058864992,0.0,0.0,0.0,0.3554150058864992,0.32769750339130055,0.0,0.3554150058864992,0.22184874961635637
ت ه,0.0,7.0,3.0,8.0,1.0,4.0,7.0,4.0,3.0,3.0,0.04575749056067514,0.0,0.08442705614947257,0.06758936186980757,0.08708062211589923,0.04575749056067514,0.07330624493082455,0.08442705614947257,0.07330624493082455,0.06758936186980757,0.06758936186980757
ت و,3.0,13.0,1.0,1.0,1.0,19.0,15.0,1.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ت ى,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3979400086720376,0.0,0.3979400086720376,0.0,0.3979400086720376,0.3979400086720376,0.3979400086720376,0.0,0.0,0.0,0.0
ت ي,0.0,10.0,4.0,2.0,5.0,5.0,7.0,8.0,2.0,4.0,0.04575749056067514,0.0,0.09151498112135029,0.07330624493082455,0.059531867745749846,0.07774060393627559,0.07774060393627559,0.08442705614947257,0.08708062211589923,0.059531867745749846,0.07330624493082455
ت ً,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ث أ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
