,corp1.txt,corp10.txt,corp2.txt,corp3.txt,corp4.txt,corp5.txt,corp6.txt,corp7.txt,corp8.txt,corp9.txt,idf,tf.idfcorp1.txt,tf.idfcorp10.txt,tf.idfcorp2.txt,tf.idfcorp3.txt,tf.idfcorp4.txt,tf.idfcorp5.txt,tf.idfcorp6.txt,tf.idfcorp7.txt,tf.idfcorp8.txt,tf.idfcorp9.txt
آ خ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.5228787452803376,0.0,0.0,0.0,0.0,0.0,0.5228787452803376,0.0,0.6802809317048656,0.5228787452803376,0.0
آ ر,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
آ ف,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
آ ك,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
آ ل,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
آ ي,0.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,1.4532853245652777,0.0,0.0,1.032463449816228,0.0,0.0,0.0,0.0,0.0
أ ب,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.5228787452803376,0.0,0.6802809317048656,0.0,0.0,0.0,0.0,0.7723553082947351,0.5228787452803376,0.0,0.0
أ ت,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3010299956639812,0.0,0.3010299956639812,0.0,0.0,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.0,0.0
أ ث,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.3979400086720376,0.0,0.0,0.0,0.3979400086720376,0.0,0.5878056449127935,0.0,0.0,0.3979400086720376,0.3979400086720376
أ ج,1.0,5.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.3010299956639812,0.3010299956639812,0.5114409330385058,0.0,0.0,0.39164905395343774,0.39164905395343774,0.0,0.3010299956639812,0.0,0.0
أ ح,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3010299956639812,0.0,0.3010299956639812,0.0,0.0,0.3010299956639812,0.0,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.0
أ خ,0.0,2.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.22184874961635637,0.0,0.2886318777514278,0.0,0.32769750339130055,0.22184874961635637,0.2886318777514278,0.22184874961635637,0.2886318777514278,0.0,0.0
أ د,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.5228787452803376,0.0,0.8883553041361473,0.0,0.0,0.0,0.0,0.6802809317048656,0.5228787452803376,0.0,0.0
أ ذ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
أ ر,2.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,0.3979400086720376,0.5177318877571058,0.0,0.0,0.0,0.0,0.7075975239978617,0.5177318877571058,0.0,0.3979400086720376,0.0
أ ز,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.6989700043360189,0.0,0.9093809417105436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
أ س,0.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,0.15490195998574316,0.0,0.0,0.20153209632859362,0.15490195998574316,0.0,0.20153209632859362,0.20153209632859362,0.20153209632859362,0.15490195998574316,0.15490195998574316
أ ش,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.3979400086720376,0.0,0.0,0.5177318877571058,0.0,0.3979400086720376,0.5177318877571058,0.0,0.0,0.3979400086720376,0.0
أ ص,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6989700043360189,0.0,1.032463449816228,0.0,0.0,0.0,0.0,0.9093809417105436,0.0,0.0,0.0
أ ض,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.3979400086720376,0.3979400086720376,0.0,0.3979400086720376,0.0,0.0,0.0,0.3979400086720376,0.0,0.0,0.5177318877571058
